Point,Canopy interception points,Total length (intercepts),Device,Notes
1.1,,4,Net 1.1,
1.2,,5,Net 1.2,
1.3,,5,Net 1.3,
1.4,,2,V1,
1.5,,4,1.1.1,
1.6,,3,1.1.2,
1.7,,6,1.1.3,
1.8,,6,1.2.1,
1.9,,10,1.2.2,
1.10,,7,1.2.3,
1.11,,9,1.3.1,
1.12,,7,1.3.2,
1.13,,7,1.3.3,
1.14,,4,1,
1.15,,13,2,
1.16,,4,3,
1.17,,2,4,
1.18,,11,5,
1.19,,6,6,
1.20,,4,7,
2.1,,5,Net 2.1,
2.2,,4,Net 2.2,
2.3,,3,Net 2.3,
2.4,,5,V2,
2.5,,6,2.1.1,
2.6,,6,2.1.2,
2.7,,5,2.1.3,
2.8,,9,2.2.1,
2.9,,7,2.2.2,
2.10,,4,2.2.3,
2.11,,4,2.3.1,
2.12,,6,2.3.2,
2.13,,9,2.3.3,
2.14,,3,1,
2.15,,2,2,
2.16,,10,3,
2.17,,5,4,
2.18,,15,5,
2.19,,9,6,
2.20,,8,7,
3.1,,8,Net 3.1,
3.2,,5,Net 3.2,
3.3,,2,Net 3.3,
3.4,,6,V3,doubtful
3.5,,3,3.1.1,
3.6,,11,3.1.2,
3.7,,6,3.1.3,
3.8,,2,3.2.1,
3.9,,11,3.2.2,
3.10,,2,3.2.3,
3.11,,6,3.3.1,
3.12,,8,3.3.2,
3.13,,10,3.3.3,
3.14,,5,1,
3.15,,8,2,
3.16,,2,3,
3.17,,2,4,
3.18,,10,5,
3.19,,1,6,
3.20,,0,7,
