Location;Area;Forest Type;Aspect of Location;Position at slope;Notes to location;Tree;GPS Rechtswert;GPS Hochwert;Altitude tree;Height [m] mean;Height [m] median;Beginn Krone [m] mean;Beginn Krone [m] median;Height crown [m];Height crown [m] median;r crown min;r crown max;r crown mean;Distance to next tree stem;Species of tree;Device;GPS Rechtswert;GPS Hochwert;Distance to tree stem;Altitude device;Stand density (Bitterlich);Canopy density;Species_1;Species_2;Species_3;Species_4
1;24*29*21;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;111;28R 0227435;3180793;0,64;1228;5;73,88;Pinus canariensis;Agerantia adenophora;Erica arborea;
1;24*29*22;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;112;28R 0227435;3180792;0,98;1228;12;68,58;Pinus canariensis;Agerantia adenophora;Myrica faya;
1;24*29*23;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227441;3180799;1227;21,58;21,79;10,58;10,67;11;11;3,7;8,1;5,9;1,12;Pinus canariensis;113;28R 0227441;3180792;3,1;1228;14;72,89;Pinus canariensis;Pteridium aquifolium;Myrica faya;
1;24*29*24;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;121;28R 0227450;3180786;2,92;1223;17;76,69;Myrica faya;Laurus novocanariensis;Erica arborea;
1;24*29*25;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;122;28R 0227461;3180791;3,47;1224;17;83,91;Myrica faya;Pteridium aquifolium;Erica arborea;Laurus novocanariensis
1;24*29*26;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227448;3180792;1215;14,14;14,52;4,83;4,85;9,35;10;0,24;5,88;3,18;1,05;Myrica faya;123;28R 0227458;3180791;0,84;1225;19;80,06;Myrica faya;Laurus novocanariensis;;
1;24*29*27;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;131;28R 0227440;3180775;2,45;1222;13;83,70;Myrica faya;Agerantia adenophora;Pinus canariensis;
1;24*29*28;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;132;28R 0227441;3180777;0,68;1224;17;89,73;Myrica faya;Agerantia adenophora;Pinus canariensis;
1;24*29*29;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 022745;3180775;1225;12,11;12,11;1,54;1,54;10,57;10,57;3,1;5,05;4,08;0,66;Myrica faya;133;28R 0227440;3180769;2,28;1224;24;84,08;Myrica faya;Agerantia adenophora;Erica arborea;
2;30*22*22;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;21;28R 0224017;3170049;1242;5,33;5,5;4,16;4;1,17;1;0,35;2,3;1,33;1,75;Myrica faya;211;28R 0224009;3170042;0,62;1236;21;82,60;;Laurus novocanariensis;;
