Location ;Tree;Device;Precipitation [ml];Time;Fog precence;Description of wheather;Notes;Date
1;11;111;0;11:26;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;11;112;0;11:26;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;11;113;0;11:26;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;12;121;0;11:30;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;12;122;0;11:30;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;12;123;0;11:30;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;13;131;0;11:32;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;13;132;0;11:32;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
1;13;133;0;11:32;No;Clear sky, few clouds;Seiten/Boden beschlagen;150316
2;21;211;0;13:09;No;Sunny;Nicht feucht;150316
2;21;212;0;13:09;No;Sunny;Nicht feucht;150316
2;21;213;0;13:09;No;Sunny;Nicht feucht;150316
2;22;221;0;13:16;No;Sunny;feuchter Boden;150316
2;22;222;0;13:16;No;Sunny;trocken;150316
2;22;223;0;13:16;No;Sunny;trocken;150316
2;23;231;0;13:30;No;Sunny;trocken;150316
2;23;232;0;13:30;No;Sunny;trocken;150316
2;23;233;0;13:30;No;Sunny;trocken;150316
3;31;311;0;15:28;No;Clear sunny;trocken;150316
3;31;312;0;15:28;No;Clear sunny;trocken;150316
3;31;313;0;15:28;No;Clear sunny;trocken;150316
3;32;321;0;15:33;No;Clear sunny;trocken;150316
3;32;322;0;15:33;No;Clear sunny;trocken;150316
3;32;323;0;15:33;No;Clear sunny;trocken;150316
3;33;311;0;15:34;No;Clear sunny;trocken;150316
3;33;332;0;15:34;No;Clear sunny;trocken;150316
3;33;333;0;15:34;No;Clear sunny;trocken;150316
1;11;111;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;11;112;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;11;113;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;12;121;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;12;122;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;12;123;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;13;131;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;13;132;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
1;13;133;0;15:15;No;Clear sky, few clouds;trockener Boden und Nadeln;160316
2;21;211;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;21;212;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;21;213;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;22;221;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;22;222;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;22;223;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;23;231;0;17:35;No;diesig, no clouds, no clear sky;;160316
2;23;232;0;17:40;No;diesig, no clouds, no clear sky;;160316
2;23;233;0;17:40;No;diesig, no clouds, no clear sky;;160316
3;31;311;0;18:11;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;31;312;0;18:12;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;31;313;0;18:13;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;32;321;0;18:14;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;32;322;0;18:15;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;32;323;0;18:15;No;leicht bewölkt (Schleierwolken), sunny;;160316
3;33;311;0;18:15;No;leicht bewölkt (Schleierwolken), sunny;;160316
